Category	Code	Lab Item	 Rate 	IP Markup	Package	External	Sample Type
BIOCHEMISTRY	ALP/A	AHC - ALKALINE PHOSPHATASE	550	10	NO	NO	BLOOD
BIOCHEMISTRY	AMPH/A	AHC - AMPHETAMINE SCREENING URINE	850	10	NO	NO	URINE
BIOCHEMISTRY	AMY/A	AHC - AMYLASE	850	10	NO	NO	BLOOD
SEROLOGY/IMMUNOLOGY	ANA/A	AHC - ANA	2700	10	NO	YES	BLOOD
HAEMATOLOGY AND B.TRANSFUSION	APTT/A	AHC - APTT	700	10	NO	NO	BLOOD
BIOCHEMISTRY	ABG/A	AHC - ARTERIAL BLOOD GASES (ABG/BGA)	2500	10	NO	NO	BLOOD
BIOCHEMISTRY	ABG/A	AHC - ARTERIAL BLOOD GASES (ABG/BGA)		10	NO	NO	BLOOD
BIOCHEMISTRY	ABG/A	AHC - ARTERIAL BLOOD GASES (ABG/BGA)		10	NO	NO	BLOOD
BIOCHEMISTRY	ABG/A	AHC - ARTERIAL BLOOD GASES (ABG/BGA)		10	NO	NO	BLOOD
BIOCHEMISTRY	ABG/A	AHC - ARTERIAL BLOOD GASES (ABG/BGA)		10	NO	NO	BLOOD
BIOCHEMISTRY	ABG/A	AHC - ARTERIAL BLOOD GASES (ABG/BGA)		10	NO	NO	BLOOD
BIOCHEMISTRY	ABG/A	AHC - ARTERIAL BLOOD GASES (ABG/BGA)		10	NO	NO	BLOOD
BIOCHEMISTRY	ABG/A	AHC - ARTERIAL BLOOD GASES (ABG/BGA)		10	NO	NO	BLOOD
BIOCHEMISTRY	ABG/A	AHC - ARTERIAL BLOOD GASES (ABG/BGA)		10	NO	NO	BLOOD
BIOCHEMISTRY	ABG/A	AHC - ARTERIAL BLOOD GASES (ABG/BGA)		10	NO	NO	BLOOD
SEROLOGY/IMMUNOLOGY	ASOT/A	AHC - ASOT	500	10	NO	NO	BLOOD
CYTOLOGY	ASPC/A	AHC - ASPIRATE CELL COUNT		10	NO	NO	ASPIRATE
CYTOLOGY	ASPC/A	AHC - ASPIRATE CELL COUNT		10	NO	NO	ASPIRATE
CYTOLOGY	ASPC/A	AHC - ASPIRATE CELL COUNT		10	NO	NO	ASPIRATE
CYTOLOGY	ASPC/A	AHC - ASPIRATE CELL COUNT		10	NO	NO	ASPIRATE
BIOCHEMISTRY	ASPG/A	AHC - ASPIRATE GLUCOSE	500	10	NO	NO	BLOOD
BIOCHEMISTRY	BARB/A	AHC - BARBITURATES SCREENING URINE	850	10	NO	NO	URINE
BIOCHEMISTRY	BJP/A	AHC - BENCE JONES PROTEINS SPOT URINE	450	10	NO	NO	URINE
BIOCHEMISTRY	BEN/A	AHC - BENZODIAZEPINE SCREENING URINE	850	10	NO	NO	URINE
BIOCHEMISTRY	BTD/A	AHC - BILIRUBIN TOTAL AND DIRECT	700	10	NO	NO	BLOOD
BIOCHEMISTRY	BTD/A	AHC - BILIRUBIN TOTAL AND DIRECT		10	NO	NO	BLOOD
BIOCHEMISTRY	BTD/A	AHC - BILIRUBIN TOTAL AND DIRECT		10	NO	NO	BLOOD
BIOCHEMISTRY	BTD/A	AHC - BILIRUBIN TOTAL AND DIRECT		10	NO	NO	BLOOD
BIOCHEMISTRY	BTD/A	AHC - BILIRUBIN TOTAL AND DIRECT		10	NO	NO	BLOOD
BIOCHEMISTRY	BTD/A	AHC - BILIRUBIN TOTAL AND DIRECT		10	NO	NO	BLOOD
HAEMATOLOGY AND B.TRANSFUSION	BLT/A	AHC - BLEEDING TIME	450	10	NO	NO	BLOOD
MICROBIOLOGY	BLC/A	AHC - BLOOD CULTURE	2200	10	NO	NO	BLOOD
MICROBIOLOGY	BLC/A	AHC - BLOOD CULTURE		10	NO	NO	BLOOD
MICROBIOLOGY	BLC/A	AHC - BLOOD CULTURE		10	NO	NO	BLOOD
MICROBIOLOGY	BLC/A	AHC - BLOOD CULTURE		10	NO	NO	BLOOD
MICROBIOLOGY	BLC/A	AHC - BLOOD CULTURE		10	NO	NO	BLOOD
MICROBIOLOGY	BLC/A	AHC - BLOOD CULTURE		10	NO	NO	BLOOD
MICROBIOLOGY	BLC/A	AHC - BLOOD CULTURE		10	NO	NO	BLOOD
MICROBIOLOGY	BLC/A	AHC - BLOOD CULTURE		10	NO	NO	BLOOD
MICROBIOLOGY	BLC/A	AHC - BLOOD CULTURE		10	NO	NO	BLOOD
MICROBIOLOGY	BLC/A	AHC - BLOOD CULTURE		10	NO	NO	BLOOD
MICROBIOLOGY	BLC/A	AHC - BLOOD CULTURE		10	NO	NO	BLOOD
MICROBIOLOGY	BLC/A	AHC - BLOOD CULTURE		10	NO	NO	BLOOD
MICROBIOLOGY	BLC/A	AHC - BLOOD CULTURE		10	NO	NO	BLOOD
MICROBIOLOGY	BLC/A	AHC - BLOOD CULTURE		10	NO	NO	BLOOD
MICROBIOLOGY	BLC/A	AHC - BLOOD CULTURE		10	NO	NO	BLOOD
MICROBIOLOGY	BLC/A	AHC - BLOOD CULTURE		10	NO	NO	BLOOD
MICROBIOLOGY	BLC/A	AHC - BLOOD CULTURE		10	NO	NO	BLOOD
MICROBIOLOGY	BLC/A	AHC - BLOOD CULTURE		10	NO	NO	BLOOD
MICROBIOLOGY	BLC/A	AHC - BLOOD CULTURE		10	NO	NO	BLOOD
MICROBIOLOGY	BLC/A	AHC - BLOOD CULTURE		10	NO	NO	BLOOD
MICROBIOLOGY	BLC/A	AHC - BLOOD CULTURE		10	NO	NO	BLOOD
MICROBIOLOGY	BLC/A	AHC - BLOOD CULTURE		10	NO	NO	BLOOD
MICROBIOLOGY	BLC/A	AHC - BLOOD CULTURE		10	NO	NO	BLOOD
MICROBIOLOGY	BLC/A	AHC - BLOOD CULTURE		10	NO	NO	BLOOD
MICROBIOLOGY	BLC/A	AHC - BLOOD CULTURE		10	NO	NO	BLOOD
MICROBIOLOGY	BLC/A	AHC - BLOOD CULTURE		10	NO	NO	BLOOD
MICROBIOLOGY	BLC/A	AHC - BLOOD CULTURE		10	NO	NO	BLOOD
MICROBIOLOGY	BLC/A	AHC - BLOOD CULTURE		10	NO	NO	BLOOD
MICROBIOLOGY	BLC/A	AHC - BLOOD CULTURE		10	NO	NO	BLOOD
HAEMATOLOGY AND B.TRANSFUSION	BGR/A	AHC - BLOOD GROUP AND RHESUS	450	10	YES	NO	BLOOD
HAEMATOLOGY AND B.TRANSFUSION	BGR/A	AHC - BLOOD GROUP AND RHESUS		10	YES	NO	BLOOD
BIOCHEMISTRY	BLG/A	AHC - BLOOD SUGAR GLUCOSE	500	10	YES	NO	BLOOD
BIOCHEMISTRY	BLG/A	AHC - BLOOD SUGAR GLUCOSE		10	YES	NO	BLOOD
SEROLOGY/IMMUNOLOGY	BAT/A	AHC - BRUCELLA ANTIGEN TEST	650	10	NO	NO	BLOOD
SEROLOGY/IMMUNOLOGY	BAT/A	AHC - BRUCELLA ANTIGEN TEST		10	NO	NO	BLOOD
BIOCHEMISTRY	CRP/A	AHC - C REACTIVE PROTEIN	1400	10	NO	NO	BLOOD
BIOCHEMISTRY	C199/A	AHC - CA 19-9	2500	10	NO	NO	BLOOD
BIOCHEMISTRY	C125/A	AHC - CA 125	2500	10	NO	NO	BLOOD
BIOCHEMISTRY	CAL/A	AHC - CALCIUM	550	10	NO	NO	BLOOD
BIOCHEMISTRY	CANN/A	AHC - CANNABINOID SCREENING URINE	850	10	NO	NO	URINE
BIOCHEMISTRY	CEZ/A	AHC - CARDIAC ENZYMES	4900	10	NO	NO	BLOOD
BIOCHEMISTRY	CEZ/A	AHC - CARDIAC ENZYMES		10	NO	NO	BLOOD
BIOCHEMISTRY	CEZ/A	AHC - CARDIAC ENZYMES		10	NO	NO	BLOOD
