Serial	TestCode	TestName	Pruchase	Rate	Unit	Category	Tax	Reference	Serial
1	LT001	Total Count (TC)	0	0	cells / mm3	Haematology - Male	0	5000 – 11000 cells / mm3	1
2	LT002	Differential Count (DC)	0	0		Haematology - Male	0		2
3	LT003	Polymorphs	0	0	%	Haematology - Male	0	50 – 62 %	3
4	LT004	Lymphocytes	0	0	%	Haematology - Male	0	25 – 40 %	4
5	LT005	Eosinophils	0	0	%	Haematology - Male	0	0 – 3 %	5
6	LT006	Erythrocyte Sedimentation Rate (ESR) (By Westergren’s Method) - 30 mts	0	0	mm	Haematology - Male	0		6
7	LT007	Erythrocyte Sedimentation Rate (ESR) (By Westergren’s Method) - 60 mts	0	0	mm	Haematology - Male	0	Less than 15 mm	7
8	LT008	Red Blood Cell Count (RBC)	0	0	x 106 cells / mm3	Haematology - Male	0	4.5 – 5.5 x 106 cells / mm3	8
9	LT009	Hemoglobin (Hb)	0	0	g/dl	Haematology - Male	0	14– 17.4 g/dl	9
10	LT010	Hematocrit (PCV)	0	0	%	Haematology - Male	0	42 – 52 %	10
11	LT011	Mean Corpuscular Volume (MCV)	0	0	fL	Haematology - Male	0	84 – 96 fL	11
12	LT012	Mean Corpuscular Hemoglobin (MCH)	0	0	pg	Haematology - Male	0	28 – 34 pg	12
13	LT013	Mean Corpuscular Hemoglobin Concentration (MCHC)	0	0	g/dl	Haematology - Male	0	32 – 36 g/dl	13
14	LT014	Platelet Count (Plt)	0	0	cells	Haematology - Male	0	140000 – 400000 cells	14
15	LT015	Total Count (TC)	0	0	cells / mm3	Haematology - Female	0	5000 – 11000 cells / mm3	15
16	LT016	Polymorphs	0	0	%	Haematology - Female	0	50 – 62 %	16
17	LT017	Lymphocytes	0	0	%	Haematology - Female	0	25 – 40 %	17
18	LT018	Eosinophils	0	0	%	Haematology - Female	0	0 – 3 %	18
19	LT019	Erythrocyte Sedimentation Rate (ESR) (By Westergren’s Method) - 30 mts	0	0	mm	Haematology - Female	0		19
20	LT020	Erythrocyte Sedimentation Rate (ESR) (By Westergren’s Method) - 60 mts	0	0	mm	Haematology - Female	0	Less than 20 mm	20
21	LT021	Red Blood Cell Count (RBC)	0	0	x 106 cells / mm3	Haematology - Female	0	4.0 – 5.0 x 106 cells / mm3	21
22	LT022	Hemoglobin (Hb)	0	0	g/dl	Haematology - Female	0	12 – 16 g/dl	22
23	LT023	Hematocrit (PCV)	0	0	%	Haematology - Female	0	36 – 48 %	23
24	LT024	Mean Corpuscular Volume (MCV)	0	0	fL	Haematology - Female	0	84 – 96 fL	24
25	LT025	Mean Corpuscular Hemoglobin (MCH)	0	0	pg	Haematology - Female	0	28 – 34 pg	25
26	LT026	Mean Corpuscular Hemoglobin Concentration (MCHC)	0	0	g/dl	Haematology - Female	0	32 – 36 g/dl	26
27	LT027	Platelet Count (Plt)	0	0	cells	Haematology - Female	0	140000 – 400000 cells	27
28	LT028	Total Count (TC)	0	0	cells / mm3	Haematology - 1 To 6 Years	0	5000 – 19000 cells / mm3	28
29	LT029	Polymorphs	0	0	%	Haematology - 1 To 6 Years	0	13 – 33 %	29
30	LT030	Lymphocytes	0	0	%	Haematology - 1 To 6 Years	0	46 – 76 %	30
31	LT031	Eosinophils	0	0	%	Haematology - 1 To 6 Years	0	0 – 3 %	31
32	LT032	30 mts	0	0	mm	Haematology - 1 To 6 Years	0		32
33	LT033	60 mts	0	0	mm	Haematology - 1 To 6 Years	0	Less than 15 mm	33
34	LT034	Red Blood Cell Count (RBC)	0	0	x 106 cells / mm3	Haematology - 1 To 6 Years	0	3.9 – 5.3 x 106 cells / mm3	34
35	LT035	Hemoglobin (Hb)	0	0	g/dl	Haematology - 1 To 6 Years	0	9.5 – 14.1 g/dl	35
36	LT036	Hematocrit (PCV)	0	0	%	Haematology - 1 To 6 Years	0	30 – 40 %	36
37	LT037	Mean Corpuscular Volume (MCV)	0	0	fL	Haematology - 1 To 6 Years	0	70 – 84 fL	37
38	LT038	Mean Corpuscular Hemoglobin (MCH)	0	0	pg	Haematology - 1 To 6 Years	0	23 – 29 pg	38
39	LT039	Mean Corpuscular Hemoglobin Concentration (MCHC)	0	0	g/dl	Haematology - 1 To 6 Years	0	31 – 35 g/dl	39
40	LT040	Platelet Count (Plt)	0	0	cells	Haematology - 1 To 6 Years	0	140000 – 400000 cells	40
41	LT041	Total Count (TC)	0	0	cells / mm3	Haematology - 6 To 16 Years	0	4800 – 10800 cells / mm3	41
42	LT042	Polymorphs	0	0	%	Haematology - 6 To 16 Years	0	32 – 54 %	42
43	LT043	Lymphocytes	0	0	%	Haematology - 6 To 16 Years	0	27 – 57 %	43
44	LT044	Eosinophils	0	0	%	Haematology - 6 To 16 Years	0	0 – 3 %	44
45	LT045	Erythrocyte Sedimentation Rate (ESR) (By Westergren’s Method) - 30 mts	0	0	mm	Haematology - 6 To 16 Years	0		45
46	LT046	Erythrocyte Sedimentation Rate (ESR) (By Westergren’s Method) - 60 mts	0	0	mm	Haematology - 6 To 16 Years	0	Less than 15 mm	46
47	LT047	Red Blood Cell Count (RBC)	0	0	x 106 cells / mm3	Haematology - 6 To 16 Years	0	4.0 – 5.2 x 106 cells / mm3	47
48	LT048	Hemoglobin (Hb)	0	0	g/dl	Haematology - 6 To 16 Years	0	10.3 – 14.9 g/dl	48
49	LT049	Hematocrit (PCV)	0	0	%	Haematology - 6 To 16 Years	0	32 – 42 %	49
50	LT050	Mean Corpuscular Volume (MCV)	0	0	fL	Haematology - 6 To 16 Years	0	73 – 87 fL	50
51	LT051	Mean Corpuscular Hemoglobin (MCH)	0	0	pg	Haematology - 6 To 16 Years	0	24 – 30 pg	51
52	LT052	Mean Corpuscular Hemoglobin Concentration (MCHC)	0	0	g/dl	Haematology - 6 To 16 Years	0	32 – 36 g/dl	52
53	LT053	Platelet Count (Plt)	0	0	cells	Haematology - 6 To 16 Years	0	140000 – 400000 cells	53
54	LT054	Total Count (TC)	0	0	cells / mm3	Haematology - Birth To 2Week	0	9000 – 30000 cells / mm3	54
55	LT055	Polymorphs	0	0	%	Haematology - Birth To 2Week	0	52 – 62 %	55
56	LT056	Lymphocytes	0	0	%	Haematology - Birth To 2Week	0	26 – 36 %	56
57	LT057	Eosinophils	0	0	%	Haematology - Birth To 2Week	0	0 – 2 %	57
58	LT058	Monocytes	0	0	%	Haematology - Birth To 2Week	0	0 – 1 %	58
59	LT059	Erythrocyte Sedimentation Rate (ESR) (By Westergren’s Method) - 30 mts	0	0	mm	Haematology - Birth To 2Week	0		59
60	LT060	Erythrocyte Sedimentation Rate (ESR) (By Westergren’s Method) - 60 mts	0	0	mm	Haematology - Birth To 2Week	0	Less than 10 mm	60
61	LT061	Red Blood Cell Count (RBC)	0	0	x 106 cells / mm3	Haematology - Birth To 2Week	0	4.1 – 6.1 x 106 cells / mm3	61
62	LT062	Hemoglobin (Hb)	0	0	g/dl	Haematology - Birth To 2Week	0	14.5 – 24.5 g/dl	62
63	LT063	Hematocrit (PCV)	0	0	%	Haematology - Birth To 2Week	0	44 – 64 %	63
